json_decor_info_name_treasure_goldidol,Gold Idol
json_decor_info_name_treasure_moai,Moai
json_decor_info_name_treasure_sculpture,Sculpture
json_decor_info_name_treasure_volcano,Volcano
json_decor_info_name_treasure_grail,Grail
json_decor_info_name_treasure_stem,Gems
json_decor_info_name_treasure_tiara,Tiara
json_decor_info_description_coral_blueanemone,"A blue beauty for only the most transcendent tanks, this brilliant bulb will bring a seductive sway to your realm. Fine fish of all flavors are sure to appreciate its majestic movements!"
json_decor_info_description_coral_brain,"What a magnificent mind! This coral may not be any smarter than the next batch, but don't you think it looks rather intelligent?"
json_decor_info_description_coral_closedbrain,"Shh, they're tired! This coral's closed after a hard day of catching plankton, but don't despair - it's still quite pretty. Let's let the poor little fellas sleep, shall we?"
json_decor_info_description_coral_coil,The sinuous shape of this curled coral will keep your fish fascinated for untold hours. Take it to your tank today!
json_decor_info_description_coral_crinoid,"This interesting item may LOOK like a plant, but it's actually a living critter that just likes to stay in one place! These ancient creatures will give your tank a prehistoric pop!"
json_decor_info_description_coral_fan,"Fan the flames of fashion with this flattened fin of coral! An oceanic classic, it'll look simply smashing sitting on the seabed of your tank."
json_decor_info_description_coral_fanlarge,"Your biggest fan happens to be one of many - this delicate frond is the home of thousands of tiny critters, and I bet they'd all love to live in your tank!"
json_decor_info_description_coral_fire,"Sure, it says 'coral' on the label, but watch out! These are more like jellyfish colonies, and they'll give you a nasty sting if you're not careful! Sure do look pretty, though..."
json_decor_info_description_coral_montipora,"These corals spread out nice and flat, pushing colorful plateaus in all directions. They're beautiful, fragile, and fashionable - get yours today!"
json_decor_info_description_coral_mushroom,"Sometimes, you want to decorate your tank with elegance AND efficiency. Of course you could buy mushrooms and coral separately - but why not get BOTH in one handy package? Act now! Supplies are limited!"
json_decor_info_description_coral_panel,"Sure, coral of any sort will bring glory to your tank and gratitude from your fish, but there's just something so refined about this one in particular. Don't you want to see the effects of its style on your little swimmers?                                                                                                    "
json_decor_info_description_coral_pillar,"These lovely pink pillars may look like rocks, but they're actually living creatures! A beautiful addition to any tank, coral is a sign of refinement and elegance in a watery world."
json_decor_info_description_coral_pinkanemone,"This delicate creature looks sort of like an animated plate of pasta, but it's no meal! This anemone can deliver a surprising sting to the unwary, so hungry hunters had best give it a wide berth."
json_decor_info_description_coral_pipe,"It's like a little underwater town of living towers! This elegant assortment of immobile animals will provide your fishy friends with a helpful hiding spot - and doesn't it just look gorgeous, to boot?"
json_decor_info_description_coral_plate,"So elegant! Don't get too close, though; this anemone might look soft and squishy, but it can deliver a sharp sting to the unwary."
json_decor_info_description_coral_plume,"Such a classic coral! This plume stretches up to the light, giving your tank a terrific tone and your fish a fun hiding spot!"
json_decor_info_description_coral_purpleurchin,"Ouch! Best to look - and not touch - this stylishly-spined submariner. Pointy he may be, but isn't he perfectly pretty, too? Sharp and sublime, you'd better act fast to snag this deep sea deal."
json_decor_info_description_coral_stripedmushroom,"This phenomenal fungi has the striped style struggle settled. In terms of undersea mushrooms, its take on the lined look is utterly unequaled. Let's see how it fares in your tank!"
json_decor_info_description_coral_suncoral,"A rising star in the deep, this captivating coral blooms brilliantly, shining with a style that's all its own. Warm and inviting, your fish will be happy to see it, day or night."
json_decor_info_description_coral_tree,"Incredibly rare and fragile, this tree of coral is a wonder to behold. Just be very, verrrrry careful around it..."
json_decor_info_description_coral_urchinshell,Not so pointy now! This de-spined delight is an ideal art object for your tank. Take it home today!
json_decor_info_description_plant_bamboo,"One of the fastest-growing plants in the world, this evergreen will spring right up to give your tank a unique sense of style."
json_decor_info_description_plant_bluedragonweed,What fantastic seagoing style would be complete without a draconic dressing? This aquatic accessory is sure to be the perfect complement to any tank. Your fish will love its wavy wonders - why not indulge?
json_decor_info_description_plant_drifttreestump,"Where do you think this weathered wood washed up? Twisted by time and tides, this gnarled stump has copious amounts of character. I'm sure your fish will love its many nooks and crannies, too!"
json_decor_info_description_plant_kelpa,Don't weed these plants! Fish love the relaxing sway of this seaweed - it makes them feel like they're on a little aquatic vacation every time they're near.
json_decor_info_description_plant_kelpb,It's like a little lawn! The scruffly foliage of these plants will fill your tank with delight and tickle the bellies of nearby fishes!
json_decor_info_description_plant_purplemushroom,"Far out, man. These odd entities will bring an unreal sense of the fantastic to your tank - and they're also delicious with pasta."
json_decor_info_description_plant_ricciagrass,"Pristine and sweetly sea-swept, this grass will give your tank the tidal touch it's been missing! Work this whimsical weed into your saltwater stylings and achieve an appearance to astonish!"
json_decor_info_description_plant_sealavender,"So cute and delicate! Landlocked lavender is a true floral delight, so I can only assume its seaborne sibling is equally enjoyable. Why not take some to your tank today and find out?"
json_decor_info_description_plant_seaweedpetals,"Mmm, what delicious-looking leafy greens! I'll bet you could whip up a rather delicious deep sea salad with this appetizing algae. I suppose it would look pretty nice in your tank, too."
json_decor_info_description_plant_shavingbrush,"Why, they're like underwater dandelions! These glorious balls of green will add a touch of whimsy to your tank, delighting even the most finicky fish."
json_decor_info_description_rock_algaeslabrock,"Look at all that algae! These rocks have been here for a while. They could probably use a good cleaning, but I have to admit they look pretty good as they are. So natural!"
json_decor_info_description_rock_basalt,"This old volcanic rock slowly cooled to form these oddly unnatural shapes - but there's nothing mystic about plate tectonics! It's just good 'ol geology at work. They sure do look pretty, though..."
json_decor_info_description_rock_crystal,"Talk about the Age of Aquarius! These mystic crystals shimmer in the dark, and I don't know about you, but I think holistic hunks of multi-faceted fun are just what's needed to spruce up a simple seabed."
json_decor_info_description_rock_greypumice,"From the heart of the volcano to you! This chunk of pumice may be a bit rough around the edges, but that just makes it perfect for scratching a pesky itch!"
json_decor_info_description_rock_platerock,"It's more than just a rock! Fish can relax in this stone's shade, hide here when they're scared, and have races around it for fun. It's like a little underwater playground."
json_decor_info_description_rock_redpumice,"Seeing red isn't always a bad thing! This shaded stone is just like its gray cousin, but with a little visual flair to let you step your style up a notch!"
json_decor_info_description_rock_riverstones,"Perfect for skipping from bank to bank, these stones once tumbled along a babbling brook. I'm not sure how they got this far from shore, but as soon as your fish see them, they'll be grateful they did."
json_decor_info_description_rock_slabrock,"Sure, tossing a few rocks together might not sound impressive, but wait until you see how these look in your tank! Fish of all descriptions will flock to see such splendid stones!"
json_decor_info_description_rock_stonecave,"A dark and delightful hiding spot for all sorts of shy swimmers, this stone cave provides security and sanctuary in an uncertain sea."
json_decor_info_description_rock_stonestair,"A terrific tower of rocks, these slabs climb upward into an impressive monument to you, your fish, and your shared sense of style!"
json_decor_info_description_rock_whitepumice,"It's like the lava you know and love, but in a shocking albino hue. This white rock might be just what your tank needs to have a matching color scheme - so don't delay!"
json_decor_info_description_plant_tallseaweed,"We all know seaweed comes with a sublime sway, but none can stand against the stupendous size of this superb specimen. Tall and tempting, it'll take your tank to another level."
json_decor_info_description_anchor,"That's kinda cool. I wonder what happened to the rest of the ship, though..."
json_decor_info_description_toxicwaste,"Yikes! Look at that gruesome glow! Fishie, why would you bring THIS back?! It's probably still radioactive!"
json_decor_info_description_fork,"Ooh, a dinglehopper! Finally, something your fish can use to comb their hair."
json_decor_info_description_tire,"Hey, great! Just three more, and we're on our way to a sweet underwater ride. Talk about your sea cruises, eh?"
json_decor_info_description_pearl_1,"Ooh, a pearl! Think of all the things we can do with this! Good fish!"
json_decor_info_description_pearl_2,Double the delight! Your fish obviously wasn't content with finding you just one pearl. You've got a real go-getter on your hands!
json_decor_info_description_pearl_5,Nice - it's a whole cluster of pearls! That's one overachiever of a fish you have there. Make sure to reward them with extra food and attention!
json_decor_info_description_pearl_10,Pure pearlfection! You clearly picked the right fish for this job; they've brought you back TEN pearls! Wow!
json_decor_info_description_shell_cockle,You don't get more classic than this superb shell; it's a charming sight for any fish on a fairy-tale adventure!
json_decor_info_description_shell_cowrie,"Moovelous! These shells may take their name from landlocked livestock, but they're far more appealing to undersea suitors - get some soon!"
json_decor_info_description_pillow_disccushion,This comfy cushion  provides pleasing padding upon which passionate fish may frolic!
json_decor_info_description_shell_tulip,"Real flowers wouldn't do so well down here, but this tulip shell is absolutely at home in this sentimental sweet spot!"
json_decor_info_description_plant_fanwort,What fun frilly fans! These pretty plants are sure to liven up your tank and set the mood for romance!
json_decor_info_description_coral_spongepods,These sweet sponges are all set to dot the domain of your tank's most frolicsome fish!
json_decor_info_description_pillow_tassel,This terrifically-tasseled accessory is sure to leave your lovebirds breathless - get it today!
json_decor_info_description_plant_podkelp,Superb! The seductive sway of this kelp will lull your lovers into a state of benthic bliss!
json_decor_info_description_plant_lilypad,"Lillies and love go together so well - these pretty pads have a place near any passionate embrace, so why not add them to your tank, too?"
json_decor_info_description_pillow_tube,These totally tubular sponges have a style that's all set to make a splash in your breeding tank - buy 'em now!
json_decor_info_description_coral_branched,"Much like love has many branches, this coral curls in countless directions. Isn't it just delightful? I'm sure your fish will think so!"
json_decor_info_description_chocolates,"Mmm, mm! Dark and delicious, this chocolate is the perfect snack for your breeding tank's cute couples."
json_decor_info_description_champagne,Pop the cork! What kind of love nest leaves its lovers without a bit of bubbly?
json_decor_info_description_diamondring,"Will she say 'yes'? There's only one way to find out, and you'll need this ring to get things started!"
json_decor_info_description_applecore,I wonder if this started off as a whole apple and your fish just got a little hungry on the way back...
json_decor_info_description_beercan,"I guess we should be glad to get anything, but come on - couldn't that fish have brought us something a little nicer?"
json_decor_info_description_bikewheel,"What do you think it came from: Regular bike or unicycle? It's kind of a zen question, isn't it?"
json_decor_info_description_boot,Kind of old and smelly. I hope there's nothing hiding inside...
json_decor_info_description_fishhook,Ouch! Careful with this. Wouldn't want to snag a poor fish by accident.
json_decor_info_description_gascan,"Darn, empty. With today's prices, just think how many fish a full can of gas would get us!"
json_decor_info_description_golfballs,How did these get down here? Someone is putting WAY off the green.
json_decor_info_description_signs,I really hope there aren't any accidents happening now that this sign is gone...
json_decor_info_description_sink,"For tanks that have everything else, well, there's always this..."
json_decor_info_description_trashcanlid,"Well, this is just silly. Where's the rest of the trashcan?"
json_decor_info_description_wallet,Now this is how you catch a Greedy Fish! Who needs a breeding tank?
json_decor_info_description_treasure_beachball,"Anyone up for some underwater volleyball? It plays pretty much like normal, 'cept it's really hard to spike."
json_decor_info_description_treasure_bucket,"I bet someone's missing this! Well, at least we can build undersea sand castles now!"
json_decor_info_description_treasure_teacup,"Fine, pristine porcelain. There's no storm in this teacup, but perhaps it was lost in one..."
json_decor_info_description_treasure_clams,"Ooh, these look delicious. Anyone have some butter and garlic around?"
json_decor_info_description_treasure_sanddollar,"Not quite an acceptable form of currency, but it sure looks nice."
json_decor_info_description_treasure_starfish,"Your fish will always be the stars of your tank, but it couldn't hurt to have a backup or two..."
json_decor_info_description_treasure_flute,I think your fish might have trouble playing this. For a number of reasons.
json_decor_info_description_treasure_pillar,"I think it's from an old Grecian temple. Seriously, how are your fish finding these things?!"
json_decor_info_description_treasure_bomb,Oh geez- careful! Why did your fish bring THIS back?! Let's just hope it's a dud!
json_decor_info_description_treasure_necklace,This is absolutely gorgeous - it's a shame fish don't have necks!
json_decor_info_description_treasure_globe,"I can show you the world! Shining, shimmering, splendid!"
json_decor_info_description_treasure_shells,What aquatic environment would be complete without a few shells?
json_decor_info_description_treasure_pocketwatch,What a lovely pocketwatch! Say... I hope your fish didn't just steal a precious heirloom.
json_decor_info_description_treasure_sword,Good thing your fish can't swing this; otherwise it'd be a dangerous addition to the tank!
json_decor_info_description_treasure_trident,Neptune's gonna be maaaad.
json_decor_info_description_treasure_divershelmet,"Very nice, but... but what happened to the diver?!"
json_decor_info_description_treasure_painting,"I really hope this is just a copy. Otherwise, your fish might be an extremely clever thief..."
json_decor_info_description_treasure_watermill,"Bringing this thing underwater is just a bit silly, don't you think?"
json_decor_info_description_treasure_castle,"Somewhere, somehow, a tiiiiny king is very sad now."
json_decor_info_description_treasure_monolith,"Ancient and inscrutable, this monolith is priceless - and I bet it'll look great next to the kelp!"
json_decor_info_description_treasure_tiki,"Ooh, this'll be perfect for my luau! Now I just need to get tiki torches to work underwater..."
json_decor_info_description_treasure_pagoda,Make your tank an official sister city to a far-off land with this oriental arch.
json_decor_info_description_treasure_submarine,Very nice - but I guarantee someone in the military is not pleased about it being here.
json_decor_info_description_treasure_sunkenship,"Once, it sailed the oceans blue. Now here it rests, manned anew by a fishy crew."
json_decor_info_description_treasure_windmill,"If the Dutch weren't so good at building dikes, there would be a LOT more of these underwater."
json_decor_info_description_treasure_goldidol,It belongs in a museum! I wonder if your fish had to outswim a giant boulder after they took this...
json_decor_info_description_treasure_moai,"Wait, these were built on land! How in the world did your fish manage to drag this thing back?!"
json_decor_info_description_treasure_sculpture,What a beautiful piece! Surely any fish who appreciates fine art will enjoy this.
json_decor_info_description_treasure_volcano,"Yikes, it's still hot! How does that even work?!"
json_decor_info_description_treasure_grail,Perhaps it holds the secret to eternal life... but perhaps not. Only one way to find out!
json_decor_info_description_treasure_stem,"Glittering prizes! These stones are probably priceless. Good job, little fish!"
json_decor_info_description_treasure_tiara,Royalty beware! Even your lovely crowns are no match for our feisty fish!
json_tank_info_description_general,"Split up feuding fish, try out new decorations, and make room for even more friends! Just add this additional tank, and you'll have space aplenty!"
json_tank_info_description_breeding_general,Adding an additional breeding tank lets you breed even more fish!
json_sand_name_bg_sand_tan,Tan
json_sand_name_bg_sand_orange,Orange
json_sand_name_bg_sand_green,Green
json_sand_name_bg_sand_blue,Blue
json_sand_name_bg_sand_pink,Pink
json_sand_name_bg_sand_white,White
json_sand_name_bg_sand_hearts,Hearts
json_sand_name_bg_sand_purple,Purple
json_sand_name_bg_sand_black,Black
json_sand_name_bg_sand_rockstan,Tan Rocks
json_sand_name_bg_sand_boulders,Boulders
json_sand_name_bg_sand_rocksred,Red Rocks
json_sand_name_bg_sand_glass,Sea Glass
json_sand_name_bg_sand_gravel,Gravel
json_sand_name_bg_sand_rockssmall,Pebbles
json_sand_name_bg_sand_rockspurple,Purple Rocks
json_sand_name_bg_sand_grass,Grass
json_sand_name_bg_sand_glow,Glow in the Dark
,
json_sand_description_bg_sand_tan,Tan can tangle with any color and end up on top! Select this sand and set yourself up for success!
json_sand_description_bg_sand_orange,"If you want to be the talk of the town, then orange sands are IT. Set some fins down on these glorious grains and find fashion felicity."
json_sand_description_bg_sand_green,"This sea of green will turn your neighbors a similar shade with envy, and for good reason - they're the most sublime sands you could choose."
json_sand_description_bg_sand_blue,"No other color can hold a candle to the beauty of blue. The second they sight these sands, your fish will smile and sing."
json_sand_description_bg_sand_pink,Push your palette into paradise with these pink sands.
json_sand_description_bg_sand_white,Pure white perfection. These classic sands can't be beat.
json_sand_description_bg_sand_hearts,Romance isn't just for the breeding tank! Litter the landscape with these hearts and let the most marvelous of emotions fill your fishy friends.
json_sand_description_bg_sand_purple,"Other colors might be nice, but purple sands are the silica of royalty - only the finest fins may tread here."
json_sand_description_bg_sand_black,"Got the tank fashion blues? Then maybe you should make a change to the most striking sand of all! Black is where it's at, with a sharp sense of beauty that can't be beat."
json_sand_description_bg_sand_rockstan,No need for unreal rocks - tan gravel adds a certain gravitas to your tank that just can't be found in the more colorful crags.
json_sand_description_bg_sand_boulders,Who needs sand? Bring some boulders into your tank and turn the floor into a flawless field!
json_sand_description_bg_sand_rocksred,Revel in the redder side of the spectrum with these bright and brilliant rocks!
json_sand_description_bg_sand_glass,"Smooth and sublime, these tumbled traces of glass provide a colorful bed for your fish without the grit of sand or the worries of rocks!"
json_sand_description_bg_sand_gravel,This mix has it all - the best of sand mixed with the wonders of rocks! Your fish will be highly grateful for a chance at a tankful of gravel.
json_sand_description_bg_sand_rockssmall,"These skipping stones will have your fish galloping with glee - each rock is handpicked for its size, shape, and color. What a luxurious mix!"
json_sand_description_bg_sand_rockspurple,"Even if sand isn't your thing, you can still add a splash of color to the tank with these perfectly purple pieces of rock!"
json_sand_description_bg_sand_grass,"It's like something out of a storybook! With this fine foliage underfin, your fish will feel like they're in an enchanted forest."
json_sand_description_bg_sand_glow,Turn off the lights and turn on the fun with the glorious glow of this goo! There's no substitute for this shining selection!
json_prop_info_name_prop_ground_book,Big Book
json_prop_info_name_prop_ground_sign,Angry Sign
json_prop_info_name_prop_ground_lollipop,Joyful Lollipop
json_prop_info_name_prop_ground_flower,Timid Flower
json_prop_info_name_prop_ground_shield,Stout Shield
json_prop_info_name_prop_ground_comb,Defiant Comb
json_prop_info_name_prop_ground_phone,Hot Phone
json_prop_info_name_prop_ground_pillow,Soft Pillow
json_prop_info_name_prop_ground_glasses,Slick Shades
json_prop_info_name_prop_ground_roses,Lush Roses
json_prop_info_name_prop_ground_loveletter,Lovely Letter
json_prop_info_name_prop_ground_musicalnote,Marvelous Note
json_prop_info_name_prop_ground_pills,Crazy Pills
json_prop_info_name_prop_ground_whoopiecushion,Whoopie Cushion
json_prop_info_name_prop_ground_bat,Solid Bat
json_prop_info_name_prop_ground_donut,Tasty Donut
json_prop_info_name_prop_ground_bullwhip,Wild Whip
json_prop_info_name_prop_ground_lipstick,Deluxe Lipstick
json_prop_info_name_prop_ground_bowtie,Vintage Bowtie
json_prop_info_name_prop_ground_ring,Ring of Power
json_prop_info_name_prop_ground_beaker,Bubbly Beaker
json_prop_info_name_prop_ground_ninjastar,Ninja Star
json_prop_info_name_prop_ground_moneybag,Money Bag
json_prop_info_name_prop_ground_treasuremap,Treasure Map
json_prop_info_name_prop_ground_pincushion,Cute Pincushion
json_prop_info_name_prop_ground_paintpallet,Paint Palette
json_prop_info_name_prop_ground_balloonanimal,Balloon Animal
json_prop_info_name_prop_ground_cowboyhat,Cowboy Hat
json_prop_info_name_prop_ground_pompom,Rah-Rah Pom-Pom
json_prop_info_name_prop_ground_binoculars,Spy Binoculars
json_prop_info_name_prop_ground_camera,Flashy Camera
json_prop_info_name_prop_ground_votepin,Voting Pin
json_prop_info_name_prop_ground_spotlight,Sweet Spotlight
json_prop_info_name_prop_ground_mic,Power Mic
json_prop_info_name_prop_ground_perfume,Rich Perfume
json_prop_info_name_prop_ground_bindlestick,Bindle Stick
json_prop_info_name_prop_ground_guitar,Electric Guitar
json_prop_info_name_prop_ground_ballerinaslipper,Ballerina Slipper
json_prop_info_name_prop_ground_rocket,Rocket Ship
json_prop_info_name_prop_ground_moneystack,Money Stack
json_prop_info_name_prop_ground_skull,Dark Skull
json_prop_info_name_prop_ground_fairywand,Mystic Wand
json_prop_info_name_prop_air_unicorn,Magic Rainbow
json_prop_info_name_prop_air_angelcloud,Fluffy Cloud
json_prop_info_name_prop_air_moon,Bad Moon
json_prop_info_name_prop_ground_coffin,Ancient Coffin
json_prop_info_name_prop_ground_rubypile,Ruby Pile
json_prop_info_name_prop_air_galaxy,Swirling Galaxy
json_prop_info_name_prop_ground_gravestone,Gravestone
json_prop_info_name_prop_ground_giantdiamond,Giant Diamond
json_prop_info_name_toy_ground_partyhat,Party Hat
json_prop_info_name_toy_ground_crystalball,Crystal Ball
json_prop_info_description_prop_ground_book,The pages of this terrific tome hide knowledge and wisdom galore.
json_prop_info_description_prop_ground_sign,"Nothing says, 'I don't want you around' like a big, cranky sign."
json_prop_info_description_prop_ground_lollipop,"A sweet surprise for a most delightful sea-dweller, this candy can't be beat!"
json_prop_info_description_prop_ground_flower,"An ideal hiding place, this pleasing plant will shield even the wariest fish from the woes of the world. Aww, it's okay, little fellas - don't be scared!"
json_prop_info_description_prop_ground_shield,Fend off the vile villains of this watery world with a shield for the purest of hearts. Also makes a dashing hat.
json_prop_info_description_prop_ground_comb,How daring! This mighty comb will tame even the most messy mane.
json_prop_info_description_prop_ground_phone,Stay connected! No self-respecting gossip would be complete without a way to spread juicy secrets at the press of a button.
json_prop_info_description_prop_ground_pillow,"Sweet dreams, sleepy fishies! This soft, downy pillow will whisk anyone into a state of instant slumber. Zzz..."
json_prop_info_description_prop_ground_glasses,Need to impress your fellow fish? Then complete your look with this second-to-none pair of sunglasses and start livin' large!
json_prop_info_description_prop_ground_roses,These roses will let your fish know they're loved and add a burst of color to your tank! For me?! You shouldn't have! 
json_prop_info_description_prop_ground_loveletter,"So many suitors, so little time. This note is but one of many, but I'm certain our most sought-after swimmers will cherish every one!"
json_prop_info_description_prop_ground_musicalnote,"A tone of talent, this note will bring insight and illumination to your tank's artistes!"
json_prop_info_description_prop_ground_pills,"Medication for the many maladies that afflict our finned friends, these pills may be enough to set them on the road to recovery - or at least keep 'em from going REALLY nuts."
json_prop_info_description_prop_ground_whoopiecushion,"Even the best comedians need a little assistance every now and then, and this classic is here to help! A perfect prop for those who love to laugh."
json_prop_info_description_prop_ground_bat,"You might have the mightiest fish around, but that doesn't mean they can't use some backup. This weighty weapon will do nicely."
json_prop_info_description_prop_ground_donut,Delicious! This sweet is sure to draw the attention of all your tank's dessert-minded denizens. Do you think they'll be willing to share?
json_prop_info_description_prop_ground_bullwhip,No self-respecting swimmer would brave the wilds of the open sea without a trusty whip at their side! ...but how do they hold it?
json_prop_info_description_prop_ground_lipstick,"Being the most beautiful fish in the tank isn't easy! You need some high-quality help to accomplish such a feat, and this lipstick is a fine beginning!"
json_prop_info_description_prop_ground_bowtie,"Sure, it's a little outdated - but who has the time to worry about fashion when there's learning to be done?"
json_prop_info_description_prop_ground_ring,Preciousss... This corrupt jewelry glints with an unsettling light. Let's just hope it doesn't go to its foul owner's fishy head.
json_prop_info_description_prop_ground_beaker,The perfect place to brew the next world-shaking step forward in SCIENCE!
json_prop_info_description_prop_ground_ninjastar,A true master of martial arts always sleeps with a weapon close at hand.
json_prop_info_description_prop_ground_moneybag,Ah-ha! Here's where our sneakiest fish stash their ill-gotten gains.
json_prop_info_description_prop_ground_treasuremap,"Yarr, gold aplenty awaits those with the wits to decipher this map!"
json_prop_info_description_prop_ground_pincushion,Even the most fashionable fish needs a plush place to rest.
json_prop_info_description_prop_ground_paintpallet,A true artist wouldn't go anywhere without a superb supply of paints close by!
json_prop_info_description_prop_ground_balloonanimal,A squeaky setup for the young at heart and any discerning clowns who like to take their work home with them.
json_prop_info_description_prop_ground_cowboyhat,Keeps the sun out of your eyes and adds incalculable levels of coolness to your head.
json_prop_info_description_prop_ground_pompom,How else can our tank's most cheerful fish hope to raise their finned fellows' spirits?
json_prop_info_description_prop_ground_binoculars,Super-strong spy specs for snooping on all sorts of secret shenanigans.
json_prop_info_description_prop_ground_camera,"Essential for capturing those notable natural moments, or nabbing that perfect tabloid cover photo."
json_prop_info_description_prop_ground_votepin,"This pin may promote some fishy policies, but around here, that's okay."
json_prop_info_description_prop_ground_spotlight,The best actors keep their spotlight close at hand - makes it harder for someone to steal it!
json_prop_info_description_prop_ground_mic,"Be ready for a microphone check, day or night, with this powerful prop."
json_prop_info_description_prop_ground_perfume,There's something wonderful in the water! Applying this briny scent is a surefire way to find love. One spritz will increase finned fondness tenfold! 
json_prop_info_description_prop_ground_bindlestick,Get set to ride the rails out of town with this homeless haversack.
json_prop_info_description_prop_ground_guitar,"Whatever you do, don't plug this in underwater."
json_prop_info_description_prop_ground_ballerinaslipper,Maintain the fleetest set of fins around with this sublime slipper.
json_prop_info_description_prop_ground_rocket,Prepare yourself for an extraplanetary expedition in this relaxing rocket.
json_prop_info_description_prop_ground_moneystack,Stacks of cash are the sign of any successful businessfish - make sure you have enough!
json_prop_info_description_prop_ground_skull,"A dark and scary place for a dark and scary fish. Trespassers beware, or you might become their new home."
json_prop_info_description_prop_ground_fairywand,A touch of magic to set the tank tinkling with the sounds of success and delightful dreams.
json_prop_info_description_prop_air_unicorn,"Color and beauty in one appealing arc. A shining home for majestic creatures of legend, or perhaps a highly fashionable fish."
json_prop_info_description_prop_air_angelcloud,"This fluffy foundation floated down from heaven, all for one very special fish."
json_prop_info_description_prop_air_moon,"This moon's always on the rise, keeping our frightful fish in a rather furry form."
json_prop_info_description_prop_ground_coffin,Creaking wood and a hint of the grave to make any creature of the night feel at home. 
json_prop_info_description_prop_ground_rubypile,"Glittering gems for a jewel of a fish, this pricey pile can't be beat."
json_prop_info_description_prop_air_galaxy,Whirling stars and streaking comets bring the universe to life in the ultimate home for a denizen of deep space.
json_prop_info_description_prop_ground_gravestone,"Set on the border between life and death, this supernatural stone soothes its ghostly guests."
json_prop_info_description_prop_ground_giantdiamond,A jaw-dropping gem for a most fantastic fish! Just keep a close eye on it - others might be jealous of such a jewel...
json_prop_info_description_toy_ground_partyhat,Get any party started with this hip hat! Anyone who dares to don this dynamite dome will be ready to rock!
json_prop_info_description_toy_ground_crystalball,"Gaze into the future with this mystic orb. Fine, fishy fortunes to you, my friend."
json_prop_info_short_description_prop_ground_book,Smart Fish's Favorite Toy
json_prop_info_short_description_prop_ground_sign,Mean Fish's Favorite Toy
json_prop_info_short_description_prop_ground_lollipop,Nice Fish's Favorite Toy
json_prop_info_short_description_prop_ground_flower,Shy Fish's Favorite Toy
json_prop_info_short_description_prop_ground_shield,Brave Fish's Favorite Toy
json_prop_info_short_description_prop_ground_comb,Rebel Fish's Favorite Toy
json_prop_info_short_description_prop_ground_phone,Gossip Fish's Favorite Toy
json_prop_info_short_description_prop_ground_pillow,Dreamy Fish's Favorite Toy
json_prop_info_short_description_prop_ground_glasses,Cool Fish's Favorite Toy
json_prop_info_short_description_prop_ground_roses,Popular Fish's Favorite Toy
json_prop_info_short_description_prop_ground_loveletter,Flirty Fish's Favorite Toy
json_prop_info_short_description_prop_ground_musicalnote,Creative Fish's Favorite Toy
json_prop_info_short_description_prop_ground_pills,Crazy Fish's Favorite Toy
json_prop_info_short_description_prop_ground_whoopiecushion,Funny Fish's Favorite Toy
json_prop_info_short_description_prop_ground_bat,Tough Fish's Favorite Toy
json_prop_info_short_description_prop_ground_donut,Greedy Fish's Favorite Toy
json_prop_info_short_description_prop_ground_bullwhip,Adventurous Fish's Favorite Toy
json_prop_info_short_description_prop_ground_lipstick,Pretty Fish's Favorite Toy
json_prop_info_short_description_prop_ground_bowtie,Nerdy Fish's Favorite Toy
json_prop_info_short_description_prop_ground_ring,Evil Fish's Favorite Toy
json_prop_info_short_description_prop_ground_beaker,Mad Scientist Fish's Favorite Toy
json_prop_info_short_description_prop_ground_ninjastar,Ninja Fish's Favorite Toy
json_prop_info_short_description_prop_ground_moneybag,Robber Fish's Favorite Toy
json_prop_info_short_description_prop_ground_treasuremap,Pirate Fish's Favorite Toy
json_prop_info_short_description_prop_ground_pincushion,Fashion Designer Fish's Favorite Toy
json_prop_info_short_description_prop_ground_paintpallet,Artist Fish's Favorite Toy
json_prop_info_short_description_prop_ground_balloonanimal,Clown Fish's Favorite Toy
json_prop_info_short_description_prop_ground_cowboyhat,Cowboy Fish's Favorite Toy
json_prop_info_short_description_prop_ground_pompom,Cheerleader Fish's Favorite Toy
json_prop_info_short_description_prop_ground_binoculars,Secret Agent Fish's Favorite Toy
json_prop_info_short_description_prop_ground_camera,Paparazzi Fish's Favorite Toy
json_prop_info_short_description_prop_ground_votepin,Presidential Fish's Favorite Toy
json_prop_info_short_description_prop_ground_spotlight,Movie Star Fish's Favorite Toy
json_prop_info_short_description_prop_ground_mic,Pop Star Fish's Favorite Toy
json_prop_info_short_description_prop_ground_perfume,Model Fish's Favorite Toy
json_prop_info_short_description_prop_ground_bindlestick,Hobo Fish's Favorite Toy
json_prop_info_short_description_prop_ground_guitar,Rock Star Fish's Favorite Toy
json_prop_info_short_description_prop_ground_ballerinaslipper,Dancer Fish's Favorite Toy
json_prop_info_short_description_prop_ground_rocket,Astronaut Fish's Favorite Toy
json_prop_info_short_description_prop_ground_moneystack,Salesman Fish's Favorite Toy
json_prop_info_short_description_prop_ground_skull,Devil Fish's Favorite Toy
json_prop_info_short_description_prop_ground_fairywand,Fairy Fish's Favorite Toy
json_prop_info_short_description_prop_air_unicorn,Unicorn Fish's Favorite Toy
json_prop_info_short_description_prop_air_angelcloud,Angel Fish's Favorite Toy
json_prop_info_short_description_prop_air_moon,Werewolf Fish's Favorite Toy
